timestamp,tracker,nis,S,R_eff
0.4275853633880615,ifo001,1.1108265565876083,1.363815616052674,0.0121
0.7642710208892822,ifo002,1.2173156445971314,4.379153788033135,0.0121
0.7749209403991699,ifo001,1.3194475360022992,0.2647711370291832,0.012103343710764089
0.8093702793121338,ifo002,0.6571673314858026,0.06010504463992332,0.012106540106983796
0.8368966579437256,ifo002,0.27527776962027434,0.20130102963971225,0.012102071889883003
0.8713059425354004,ifo001,0.18141252921204196,0.45867568499942574,0.012115900165616743
0.9026200771331788,ifo002,0.354708395672907,0.026584168074563735,0.012075582496360886
1.4373207092285156,ifo002,0.14250931198227293,0.2552402425816347,0.01203121848556047
1.462533950805664,ifo001,2.958427656574704,0.15511919644906552,0.012102406833682506
1.491427659988403,ifo002,0.05194288979273702,0.026182556756677442,0.011963333303003488
1.512155055999756,ifo002,0.23781159887777767,0.020953625029070222,0.011870543316451501
1.5417494773864746,ifo001,0.22522161214331632,0.03229008063142085,0.01214793577163492
1.5805995464324951,ifo002,0.809371988056284,0.017925382206672422,0.011761510943531018
1.6071510314941406,ifo002,0.015829065363694567,0.01611596230104683,0.011658631445932975
1.6869049072265625,ifo001,0.018759083574539658,0.3043218539374491,0.012166769994397779
1.6912903785705566,ifo001,1.2420286589494001e-05,0.02190963522231242,0.012154059054119891
1.7166106700897217,ifo001,1.340514559096487,0.017172723935991632,0.012110896112388447
1.867071866989136,ifo001,0.0033810059235176502,0.02788911162200821,0.012082965700383384
1.8727011680603027,ifo001,0.18899685183691675,0.017855004121392244,0.012025722175567553
1.9377760887146,ifo002,3.3863891771561634,0.04724718343906296,0.011532704457065166
2.0173797607421875,ifo002,1.1181465909458255,0.10018064149123304,0.011503484312259657
2.093153715133667,ifo002,0.13830205723018257,0.021547634600848527,0.01148247594549249
2.14763617515564,ifo002,0.0011249590222715414,0.017099686453402783,0.01143771645084867
2.170276165008545,ifo002,0.03636993220237388,0.016716498580479515,0.011366207062919605
2.1788172721862797,ifo002,0.1727646934402181,0.014972286356920618,0.011271039253783675
2.2348763942718506,ifo002,0.6552867989479871,0.014922148817498208,0.01117579008516434
2.272791862487793,ifo002,0.9671594371251152,0.014195398077852391,0.011121169083633491
2.6324234008789062,ifo002,0.0959596106409813,0.024793627905008185,0.011073536768183798
2.7203917503356934,ifo002,0.2628096728174922,0.02619474127611061,0.011016528124963815
2.805884599685669,ifo002,2.436309180544092,0.02138013847316474,0.010954169979904067
2.850284576416016,ifo002,2.0116233787732156,0.017595592880113965,0.010926034541411611
2.875053644180298,ifo002,0.22512171957213856,0.021633515993269205,0.010918947130765144
2.8874168395996094,ifo002,0.017211864571681883,0.017907431686390213,0.010902244688214581
2.937339782714844,ifo002,0.02206490883728212,0.014406433025339992,0.01087316490492811
2.9643867015838623,ifo002,0.3401391905702627,0.014013628820875257,0.010832627613680106
3.0863616466522217,ifo001,4.636773210720776,0.3107217359151864,0.01194743433092151
3.094388246536255,ifo001,0.4936467166030517,0.04741982853407698,0.011990117999603494
3.1107945442199707,ifo001,0.540419085334241,0.031034498983047294,0.012014525892777607
3.2735583782196045,ifo001,0.20751772981494607,0.030490465807153533,0.012023258757383883
3.286770820617676,ifo001,0.02387560756998593,0.016848775881008773,0.012007215211417102
3.3548946380615234,ifo002,0.036771458732256776,0.025489189654346163,0.01078722989233807
3.425629138946533,ifo002,0.0958741163886972,0.021343376638501978,0.010731962595889624
3.45749306678772,ifo001,1.4756078607731973,0.01954988131082303,0.011962053956151542
3.604898691177368,ifo002,1.0381756208701338,0.023286586200159436,0.010668823005893679
3.618603467941284,ifo001,0.5577710307533387,0.021620067895411252,0.0119370359659283
3.661647319793701,ifo002,1.195278711853377,0.01758051133315246,0.01061656334147887
3.684007406234741,ifo002,0.0017993483733235566,0.0172941331288328,0.010576618226439276
3.691554069519043,ifo002,0.0022443065651623142,0.014614613825004598,0.01052633763672967
3.729237079620361,ifo001,0.9770166812991875,0.02456689320131443,0.011900934934365372
3.766090869903565,ifo002,0.028154677135098474,0.014457081785618577,0.010466577461646864
3.798715353012085,ifo002,0.08835139341754306,0.013544600428976967,0.01039870192020537
3.88335633277893,ifo001,1.5472290253213405,0.035108152748555645,0.011868286850655151
3.895562648773194,ifo001,0.01206784244033749,0.020128606790138046,0.011856642177806388
3.910499811172485,ifo001,0.4754243044506152,0.01679791422358718,0.011815639288452919
4.044720649719238,ifo001,0.03128449544009035,0.023410030155082077,0.011762521736279086
4.056097745895386,ifo001,0.2870437158338715,0.0158781798680121,0.011683358524062356
4.106446504592896,ifo002,0.5465452064532091,0.021964483175488658,0.010324759574470894
