range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
1.813040288474074,11,31,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,[0.01116179 0.02823924 0.1261504 ],[0.01214419 0.01140248 0.04662645 0.99877348],[0.14198769 2.16398952 0.10880062],[-0.00816037 -0.00245988 -0.01577188  0.99983928],[-1.69044936e-04 -1.83078690e+00  1.38305149e-01],[-0.0026937  -0.00248244 -0.0142383   0.99989192],1.8427462909786192,-0.0297060025045452,"(11, 31)",304806.7689553276,304794.0298227146,1538717.416616585,1538717.9487179518,1.9247000217437744,0.0819537307651552,23336971.96764824,-24988564.89132612,-23449846.94260817,-25293358.92114884,23641778.73660357,25180496.15322015,0.2000025399464209,1.1930749416351318
3.519748003235679,31,3,61511162.6909043,30620564.69220925,30926050.59258352,61816671.79494628,32464768.54130147,63355388.31010813,-80.11009979248047,-81.18810272216797,1.0505000352859497,-0.5485000014305115,[0.01122946 0.02814009 0.12624644],[0.01195685 0.01136442 0.04665976 0.99877462],[0.14199549 2.16387853 0.10878383],[-0.00841286 -0.00258519 -0.01562683  0.99983916],[-4.50804679e-05 -1.83087929e+00  1.38371581e-01],[-0.00263118 -0.00248336 -0.01415266  0.9998933 ],3.43498384914891,0.0847641540867685,"(31, 3)",305509.033203125,305485.96504407004,1538716.6184645444,1538717.948717948,3.496299982070923,0.0613161329220122,61511162.67277644,30926050.493289266,32464768.44200721,30620564.528245192,61816671.70597956,63355388.32444411,0.079341851273069,1.3438446521759033
4.396634088542693,30,21,94361996.15921909,77700345.30819167,78008518.73190345,94670199.2641741,79547236.6806214,96208918.91680436,-95.80709838867188,-95.81819915771484,-1.1706000566482544,0.6388000249862671,[0.01113531 0.02793346 0.12654949],[0.01257657 0.01172492 0.04736369 0.99872969],[0.14209139 2.16389328 0.10892966],[-0.00854117 -0.00273113 -0.01562782  0.99983767],[-1.88346905e-04 -1.83081885e+00  1.38415964e-01],[-0.00263516 -0.00252472 -0.01419955  0.99989252],4.358223248054317,0.0384108404883756,"(30, 21)",308203.2815003991,308172.9360727072,1538719.826722756,1538717.9487179518,4.490900039672852,0.1326767916185343,94361996.00610976,78008518.4420072,79547236.39072515,77700345.50593449,94670199.28761016,96208919.11433291,0.1867783964181219,2.9907124042510986
4.205958325213952,30,1,1568323943.2746043,25927763.57538611,26233670.76473848,1568629878.7431264,27772388.71345643,1570168597.7562876,-81.4093017578125,-81.243896484375,-0.6873000264167786,0.7124000191688538,[0.01109702 0.02816841 0.12609208],[0.01193083 0.01170373 0.04672458 0.99876798],[0.14189106 2.16389754 0.10865818],[-0.00821635 -0.00265162 -0.01576229  0.99983849],[-1.02871964e-04 -1.83085015e+00  1.38308798e-01],[-0.00266502 -0.00245028 -0.01422919  0.99989221],4.081527079111728,0.1244312461022234,"(30, 1)",305935.71589541435,305907.076322116,1538718.9190204144,1538717.948717948,4.262700080871582,0.1811730017598538,1568323943.121495,26233670.685596958,27772388.634314906,25927763.60927484,1568629878.8373904,1570168597.7564108,0.121421702830845,4.463969945907593
3.77366317243092,31,20,3474350689.934493,1173697367.498055,1174003638.7146528,3474656985.763579,1175542356.6633706,3476195700.847413,-85.8136978149414,-84.29389953613281,1.4426000118255615,-1.98829996585846,[0.01118088 0.02778841 0.12637247],[0.01310192 0.01829386 0.05063607 0.9984635 ],[0.1418003  2.16390095 0.10851908],[-0.00827129 -0.00264546 -0.01580519  0.99983738],[-1.24336810e-04 -1.83081860e+00  1.38313674e-01],[-0.00263625 -0.00249415 -0.01420413  0.99989253],3.7053754432320334,0.0682877291988868,"(31, 20)",306296.1363182068,306270.7832531929,1538715.1630105972,1538717.9487178326,3.882200002670288,0.1768245594382547,3474350689.916365,1174003638.634315,1175542356.5830328,1173697367.8510618,3474656986.052684,3476195701.215694,0.1992484090533253,4.754603624343872
1.9302095238208328,30,10,2688216723.723322,385285656.4084702,385589904.7412294,2688520984.6548314,387128622.68994737,2690059701.176923,-81.38890075683594,-81.46649932861328,1.2003999948501587,-1.6297999620437622,[0.01129214 0.02816669 0.12636565],[0.01224186 0.01095655 0.04636561 0.99878943],[0.14207335 2.16391022 0.10893403],[-0.00847798 -0.00268307 -0.01563485  0.99983822],[-2.24615212e-04 -1.83081833e+00  1.38379333e-01],[-0.0026129  -0.00260306 -0.01424218  0.99989177],1.886996418579112,0.0432131052417203,"(30, 10)",304261.2242088318,304248.21902543306,1538716.4306640625,1538717.9487179518,1.9938000440597528,0.106803625480641,2688216723.570213,385589904.6599559,387128622.6086739,385285656.4409305,2688520984.7944217,2690059701.2250857,0.1274920153394167,5.581887722015381
6.412383700708035,31,0,4845317741.216545,36890957.41921266,37198598.578242525,4845625426.205485,38737316.52696047,4847164149.3472185,-87.84829711914062,-88.80850219726562,-3.644200086593628,3.43560004234314,[0.01110236 0.02762648 0.12663365],[0.01443965 0.01436386 0.04955572 0.99856366],[0.14204338 2.16394128 0.10882598],[-0.00857846 -0.00259848 -0.01564652  0.99983741],[-1.88640567e-04 -1.83077599e+00  1.38322312e-01],[-0.00264667 -0.00253329 -0.01420356  0.99989241],6.398922431054125,0.0134612696539102,"(31, 0)",307685.1243238449,307640.9912109375,1538723.1288814545,1538717.9487179443,6.458199977874756,0.0592775468206312,4845317741.198418,37198598.57021234,38737316.518930286,36890957.579001404,4845625426.3227415,4847164149.451623,0.1857936054350377,6.148473501205444
4.009385035084075,31,4,5031173846.985777,12321241.98285306,12625593.858553331,5031478225.981471,14164311.80727128,5033016945.771643,-81.15950012207031,-81.9208984375,-1.5152000188827517,0.994599997997284,[0.01108742 0.02819036 0.12619181],[0.01202337 0.01117031 0.04656749 0.99878032],[0.14197203 2.16392296 0.10883094],[-0.00845572 -0.00264314 -0.01565919  0.99983814],[-2.14123936e-04 -1.83079192e+00  1.38357376e-01],[-0.00265451 -0.00255654 -0.01423975  0.99989181],3.961006368682972,0.0483786664011032,"(31, 4)",304379.0690097809,304351.77534054406,1538719.8893232346,1538717.948717948,4.032400131225586,0.0713937625426139,5031173846.967649,12625593.762520032,14164311.71123798,12321241.987179488,5031478226.036659,5033016945.925982,0.1330601231232629,6.3783769607543945
6.72190694702488,30,5,3638271010.5822954,14480441.013626857,14786467.48452928,3638577082.501943,16325185.43324723,3640115803.4250417,-90.29419708251952,-92.5543975830078,-2.068399906158448,1.954800009727478,[0.01121238 0.02824203 0.12616836],[0.0119574  0.01142668 0.04657452 0.99877788],[0.14194563 2.16398166 0.10879495],[-0.00833559 -0.0025684  -0.01570671  0.99983859],[-1.79374031e-04 -1.83080905e+00  1.38327402e-01],[-0.00263443 -0.00250351 -0.01421205  0.9998924 ],6.622768834089404,0.0991381129354751,"(30, 5)",306072.1842446327,306025.7192758415,1538721.1413259506,1538717.948717948,6.867599964141846,0.2448311300524412,3638271010.4291854,14786467.15995593,16325185.108673878,14480441.440680088,3638577082.61343,3640115803.754756,0.1835098056820677,6.53726863861084
4.53747303848833,21,30,4312993358.475491,363890932.1465678,364195762.1848601,4313298218.29175,365734480.13357806,4314836933.707104,-96.1769027709961,-95.61209869384766,1.1986000537872314,-1.3355000019073486,[0.01095697 0.02754591 0.12668102],[0.01336724 0.01422158 0.04938607 0.99858902],[0.14194874 2.16390413 0.10871183],[-0.00827133 -0.00256683 -0.01574315  0.99983856],[-8.48204282e-05 -1.83087925e+00  1.38364894e-01],[-0.00273892 -0.00244584 -0.01421734  0.99989219],4.358364745645561,0.1791082928427689,"(21, 30)",304860.30774211884,304829.8684144616,1538715.2412614822,1538717.9487179518,4.64169979095459,0.2833350453090286,4312993358.185595,364195762.0317508,365734479.9804688,363890932.16333634,4313298218.493337,4314836933.734598,0.1868317561380386,6.748441696166992
3.392400070935674,30,2,4551247661.22332,16200190.90755056,16504480.06698407,4551551974.495646,18043198.01570202,4553090699.900289,-82.78459930419922,-83.00559997558594,-4.742199897766113,4.86329984664917,[0.01116202 0.02819496 0.12627934],[0.01205736 0.01124031 0.0463783  0.99878793],[0.1420287  2.16392705 0.10884838],[-0.00845506 -0.00269879 -0.01561332  0.99983871],[-2.00643879e-04 -1.83080229e+00  1.38343343e-01],[-0.00261066 -0.00247013 -0.01421257  0.99989254],3.3671926870658893,0.0252073838697848,"(30, 2)",304313.8083438873,304288.7995793279,1538725.3198862076,1538717.948717948,3.529099941253662,0.1619072541877728,4551247661.07021,16504479.98046875,18043197.929186694,16200191.180889422,4551551974.878554,4553090700.198441,0.1870712458227488,7.460961818695068
