my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
21,11,31,91840680.78826484,92145487.0193883,93684201.37431867,-85.46939849853516,-92.8302001953125,-93.49220275878906,-2.088000059127808,-2.917799949645996,-2.28629994392395,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,91840681.41839445,92145487.29529747,93684201.62885617,0.1845156853083871,1.278642177581787,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
30,11,31,-25932486.04232497,-25627691.82352111,-24088975.92107687,-93.00090026855467,-79.18820190429688,-80.67289733886719,-1.1008000373840332,-1.4686000347137451,-0.8093000054359436,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,-25932485.94626402,-25627691.791240983,-24088975.939628407,0.1330894182046747,1.3279950618743896,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
20,11,31,93838155.949344,94142963.14095578,95681683.4991685,-81.34380340576172,-84.21029663085938,-85.32029724121094,1.7237999439239502,1.3875999450683594,1.7257000207901,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,93838155.97142927,94142963.50723656,95681683.8660607,0.1939991503737863,1.399691104888916,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
10,11,31,-43510288.692286536,-43205484.84652984,-41666766.89882855,-80.82119750976562,-79.93699645996094,-79.97730255126953,0.2196999937295913,-0.9535999894142152,0.0241999998688697,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,-43510288.77453926,-43205485.041691706,-41666767.09297376,0.0658900454824948,1.455622673034668,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
11,31,3,110141489.24025203,110446996.83602324,111985712.99204616,-83.76730346679688,-80.14459991455078,-81.13710021972656,-0.2477000057697296,-2.014400005340576,-0.8949999809265137,-80.11009979248047,-81.18810272216797,1.0505000352859497,-0.5485000014305115,110141489.58646332,110446996.64776142,111985712.9688752,0.1278068724238809,1.5802185535430908,61511162.6909043,30620564.69220925,30926050.59258352,61816671.79494628,32464768.54130147,63355388.31010813,3.519748003235679,0.0847641540867685,61511162.67277644,30620564.528245192,30926050.493289266,61816671.70597956,32464768.44200721,63355388.32444411,3.496299982070923,0.0613161329220122,3.43498384914891,1.3438446521759033
20,30,21,1894547832.0778224,1894856008.6732364,1896394732.259163,-91.80999755859376,-80.15239715576172,-81.87039947509766,2.5573999881744385,3.569700002670288,3.876100063323975,-95.80709838867188,-95.81819915771484,-1.1706000566482544,0.6388000249862671,1894547832.1251516,1894856008.4885828,1896394732.384316,0.1771037101609288,3.0776336193084717,94361996.15921909,77700345.30819167,78008518.73190345,94670199.2641741,79547236.6806214,96208918.91680436,4.396634088542693,0.0384108404883756,94361996.00610976,77700345.50593449,78008518.4420072,94670199.28761016,79547236.39072515,96208919.11433291,4.490900039672852,0.1326767916185343,4.358223248054317,2.9907124042510986
10,30,21,1757196376.995363,1757504568.6123292,1759043289.803047,-80.61360168457031,-93.84410095214844,-94.52179718017578,1.336400032043457,1.814200043678284,1.9110000133514404,-95.80709838867188,-95.81819915771484,-1.1706000566482544,0.6388000249862671,1757196376.8748758,1757504568.5909965,1759043289.7636228,0.1991465635275542,3.115090847015381,94361996.15921909,77700345.30819167,78008518.73190345,94670199.2641741,79547236.6806214,96208918.91680436,4.396634088542693,0.0384108404883756,94361996.00610976,77700345.50593449,78008518.4420072,94670199.28761016,79547236.39072515,96208919.11433291,4.490900039672852,0.1326767916185343,4.358223248054317,2.9907124042510986
31,30,21,1439331254.92044,1439639455.853131,1441178176.8109214,-81.28589630126953,-91.54049682617188,-92.88629913330078,0.9535999894142152,1.4491000175476074,2.15779995918274,-95.80709838867188,-95.81819915771484,-1.1706000566482544,0.6388000249862671,1439331254.851513,1439639455.8324573,1441178176.7390327,0.1976247101322203,3.116612434387207,94361996.15921909,77700345.30819167,78008518.73190345,94670199.2641741,79547236.6806214,96208918.91680436,4.396634088542693,0.0384108404883756,94361996.00610976,77700345.50593449,78008518.4420072,94670199.28761016,79547236.39072515,96208919.11433291,4.490900039672852,0.1326767916185343,4.358223248054317,2.9907124042510986
21,30,1,3299287309.791062,3299593230.048994,3301131947.0430884,-95.60150146484376,-87.15660095214844,-87.7155990600586,-1.385800004005432,-0.0054999999701976,-0.4124999940395355,-81.4093017578125,-81.243896484375,-0.6873000264167786,0.7124000191688538,3299287309.9928627,3299593230.6064696,3301131947.569235,0.184665858144146,4.578985214233398,1568323943.2746043,25927763.57538611,26233670.76473848,1568629878.7431264,27772388.71345643,1570168597.7562876,4.205958325213952,0.1244312461022234,1568323943.121495,25927763.60927484,26233670.685596958,1568629878.8373904,27772388.634314906,1570168597.7564108,4.262700080871582,0.1811730017598538,4.081527079111728,4.463969945907593
10,30,1,3231159895.7803664,3231465822.936516,3233004543.271686,-81.02960205078125,-79.64990234375,-80.9092025756836,1.0923999547958374,1.1268999576568604,1.6678999662399292,-81.4093017578125,-81.243896484375,-0.6873000264167786,0.7124000191688538,3231159895.7394323,3231465822.753906,3233004543.2066298,0.0732548805624847,4.59188175201416,1568323943.2746043,25927763.57538611,26233670.76473848,1568629878.7431264,27772388.71345643,1570168597.7562876,4.205958325213952,0.1244312461022234,1568323943.121495,25927763.60927484,26233670.685596958,1568629878.8373904,27772388.634314906,1570168597.7564108,4.262700080871582,0.1811730017598538,4.081527079111728,4.463969945907593
