category,statistic,exp,fold,scenario,rmse_3d,rmse_x,rmse_y,rmse_z,nees,rmse_3d_std,nees_std,notes,source
Cross-validation per-fold,per_fold,default_3_random_0b_ifo003,7.0,BiasNet+FusionNet_ByExp,0.9123828990694732,0.4632542922124349,0.7713978298831136,0.1509417215775418,1.2537069245671346,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet_ByExp,0.3159431669063644,0.2104486957528506,0.1767122575235831,0.1558980731493064,0.995144206129767,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random2_0_ifo003,2.0,BiasNet_ByExp,0.3969475488493719,0.3124183603072153,0.2114149685832471,0.1235549907507607,0.6586083778061417,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet_ByExp,1.4378386029350532,0.7231642475650726,1.2332072836517125,0.1536655936839137,1.8429203705441024,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_1_ifo003,4.0,BiasNet_ByExp,1.1971653252832453,0.9994130153235264,0.6089081840828887,0.2522087710991914,1.9235185931840808,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_2_ifo003,5.0,BiasNet_ByExp,2.4328993069985736,1.445714360308689,1.849518229868365,0.6388985395005824,4.350240697180408,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0_ifo003,6.0,BiasNet_ByExp,0.586976352520603,0.4997308308191839,0.263356134928926,0.1595427257585139,1.1262936427011232,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0b_ifo003,7.0,BiasNet_ByExp,0.9872049831221884,0.5313868206714784,0.8183652148401428,0.1499336541860467,1.4873984897394938,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet_ByTime,0.3240044494994722,0.218159531357212,0.1817772991367656,0.1560202412893923,0.999759116110272,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random2_0_ifo003,2.0,BiasNet_ByTime,0.403299125097357,0.3171760079149139,0.2162146938804016,0.1236962831198101,0.6638070654185012,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet_ByTime,1.4042558209207583,0.7089266536967789,1.2024418594582682,0.1532676903025068,1.8252868033753824,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_1_ifo003,4.0,BiasNet_ByTime,1.1848220474673845,1.0437499027103685,0.4996005188358252,0.2545363359834586,1.9195107649330203,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_2_ifo003,5.0,BiasNet_ByTime,2.4373128773909984,1.4516939149148174,1.8506520239997528,0.6388786471317498,4.392380922275143,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0_ifo003,6.0,BiasNet_ByTime,0.6049355481884086,0.5202509660232301,0.2646369324843778,0.1589126923161453,1.1248970129906046,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0b_ifo003,7.0,BiasNet_ByTime,0.9920500754353552,0.5395600585197025,0.8191711786108014,0.1483134368656443,1.4708684438495314,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_movingTriangle_0b_ifo003,1.0,Budgeted_K2,0.2973790876350777,0.1870245383833493,0.170607404614966,0.1560424855470827,0.9428531722830408,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random2_0_ifo003,2.0,Budgeted_K2,0.5036109270281136,0.4155403068326038,0.2555821212192209,0.1250119935552735,0.6884649211609579,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_0b_ifo003,3.0,Budgeted_K2,1.2383218342058164,0.5000939265999738,1.123289745802679,0.1468576747168194,1.2098070305041222,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_1_ifo003,4.0,Budgeted_K2,0.5054438877204074,0.3681044909848485,0.2804915015999212,0.2032169404378679,1.3525301929451934,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_2_ifo003,5.0,Budgeted_K2,2.39820531386647,1.603854658361632,1.6206701460448256,0.7432814002974113,3.1968266243026235,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0_ifo003,6.0,Budgeted_K2,0.572655055063246,0.4883095458224945,0.2556986919174819,0.1552603571418266,1.007787449292268,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0b_ifo003,7.0,Budgeted_K2,0.8671877304156912,0.4326187290157544,0.736109001184697,0.1516546519668257,1.1852694610142442,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_movingTriangle_0b_ifo003,1.0,FusionNet_ByExp,0.3000954268225953,0.1882726970108874,0.1734487374345716,0.1566084041245404,0.9630589662319898,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random2_0_ifo003,2.0,FusionNet_ByExp,0.4985491168107928,0.4143314543652127,0.2477813748797795,0.1244389732323274,0.6826838343678879,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_0b_ifo003,3.0,FusionNet_ByExp,1.2463736343571654,0.5140125689944066,1.1259062612646105,0.1468788826945739,1.1786593920588042,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_1_ifo003,4.0,FusionNet_ByExp,0.5065674348973401,0.3716572217376581,0.2777619279651216,0.2032972872465696,1.357788811907557,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_2_ifo003,5.0,FusionNet_ByExp,2.4173060859364512,1.6302099618290689,1.624518218755618,0.7394083786310068,3.2563094637312595,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0_ifo003,6.0,FusionNet_ByExp,0.5797148268842374,0.4948090570664432,0.2600382608132228,0.1536664584991564,0.9634760682419902,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0b_ifo003,7.0,FusionNet_ByExp,0.8984580930113933,0.4223425812251868,0.7784427298193244,0.1512633642795085,1.246915858543704,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_movingTriangle_0b_ifo003,1.0,FusionNet_ByTime,0.2973790876350777,0.1870245383833493,0.170607404614966,0.1560424855470827,0.9428531722830408,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random2_0_ifo003,2.0,FusionNet_ByTime,0.5036109270281136,0.4155403068326038,0.2555821212192209,0.1250119935552735,0.6884649211609579,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_0b_ifo003,3.0,FusionNet_ByTime,1.2383218342058164,0.5000939265999738,1.123289745802679,0.1468576747168194,1.2098070305041222,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_1_ifo003,4.0,FusionNet_ByTime,0.5054438877204074,0.3681044909848485,0.2804915015999212,0.2032169404378679,1.3525301929451934,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random3_2_ifo003,5.0,FusionNet_ByTime,2.39820531386647,1.603854658361632,1.6206701460448256,0.7432814002974113,3.1968266243026235,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0_ifo003,6.0,FusionNet_ByTime,0.572655055063246,0.4883095458224945,0.2556986919174819,0.1552603571418266,1.007787449292268,,,,cv_results_aggregated.csv
Cross-validation per-fold,per_fold,default_3_random_0b_ifo003,7.0,FusionNet_ByTime,0.8671877304156912,0.4326187290157544,0.736109001184697,0.1516546519668257,1.1852694610142442,,,,cv_results_aggregated.csv
Cross-validation summary,scenario_summary,,,Baseline_Grid,1.0712,,,,1.7942,0.7652,1.323,"rmse_rank=7.0, nees_rank=7.0, n_folds=7",cv_results_summary.csv
Cross-validation summary,scenario_summary,,,BiasNet+FusionNet_ByExp,0.8882,,,,1.337,0.6873,0.7919,"rmse_rank=1.0, nees_rank=1.0, n_folds=7",cv_results_summary.csv
Cross-validation summary,scenario_summary,,,BiasNet_ByExp,1.0507,,,,1.7692,0.738,1.2259,"rmse_rank=6.0, nees_rank=5.0, n_folds=7",cv_results_summary.csv
Cross-validation summary,scenario_summary,,,BiasNet_ByTime,1.0501,,,,1.7709,0.732,1.24,"rmse_rank=5.0, nees_rank=6.0, n_folds=7",cv_results_summary.csv
Cross-validation summary,scenario_summary,,,Budgeted_K2,0.9118,,,,1.3691,0.7237,0.8342,"rmse_rank=2.5, nees_rank=2.5, n_folds=7",cv_results_summary.csv
Cross-validation summary,scenario_summary,,,FusionNet_ByExp,0.921,,,,1.3784,0.73,0.8576,"rmse_rank=4.0, nees_rank=4.0, n_folds=7",cv_results_summary.csv
Cross-validation summary,scenario_summary,,,FusionNet_ByTime,0.9118,,,,1.3691,0.7237,0.8342,"rmse_rank=2.5, nees_rank=2.5, n_folds=7",cv_results_summary.csv
Fixed tracker,per_experiment,default_3_movingTriangle_0b_ifo003,,Fixed_ifo001,0.4304312111504831,0.2730930474439196,0.2899245003588877,0.1632023255407643,1.062821210044284,,,fixed_tracker=ifo001,runs/20250927_combined_notebook_cv_eval/default_single_tracker/default_single_tracker_summary.csv
