category,statistic,exp,fold,scenario,rmse_3d,rmse_x,rmse_y,rmse_z,nees,rmse_3d_std,nees_std,notes,source
NonZig->Zig generalization,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet+FusionNet_ByExp,0.3113736585041863,0.1941471688811683,0.1863092689705006,0.1566821250857503,0.9729932459910934,,,scenario_key=D_bnfn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_1/D_bnfn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random2_0_ifo003,2.0,BiasNet+FusionNet_ByExp,0.3956387656142397,0.3094410944409568,0.2128109661620188,0.1244497272360646,0.6362854425644799,,,scenario_key=D_bnfn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_2/D_bnfn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet+FusionNet_ByExp,1.2679723236736316,0.5456764552458293,1.1350679397194816,0.1470094963382481,1.2024239272068973,,,scenario_key=D_bnfn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_3/D_bnfn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_1_ifo003,4.0,BiasNet+FusionNet_ByExp,0.5019978565434674,0.3739784212435408,0.2679827610120739,0.2008164042571507,1.289839812560144,,,scenario_key=D_bnfn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_4/D_bnfn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_2_ifo003,5.0,BiasNet+FusionNet_ByExp,2.25411896080179,1.5900098162542535,1.4152443781678798,0.7416228311786826,3.057433080546572,,,scenario_key=D_bnfn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_5/D_bnfn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0_ifo003,6.0,BiasNet+FusionNet_ByExp,0.5737355730258829,0.490537724429425,0.2552653695516796,0.1529210246322758,0.9466252673807128,,,scenario_key=D_bnfn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_6/D_bnfn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0b_ifo003,7.0,BiasNet+FusionNet_ByExp,0.9123828990694732,0.4632542922124349,0.7713978298831136,0.1509417215775418,1.2537069245671346,,,scenario_key=D_bnfn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_7/D_bnfn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet_ByExp,0.3159431669063644,0.2104486957528506,0.1767122575235831,0.1558980731493064,0.995144206129767,,,scenario_key=B2_bn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_1/B2_bn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random2_0_ifo003,2.0,BiasNet_ByExp,0.3969475488493719,0.3124183603072153,0.2114149685832471,0.1235549907507607,0.6586083778061417,,,scenario_key=B2_bn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_2/B2_bn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet_ByExp,1.4378386029350532,0.7231642475650726,1.2332072836517125,0.1536655936839137,1.8429203705441024,,,scenario_key=B2_bn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_3/B2_bn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_1_ifo003,4.0,BiasNet_ByExp,1.1971653252832453,0.9994130153235264,0.6089081840828887,0.2522087710991914,1.9235185931840808,,,scenario_key=B2_bn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_4/B2_bn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_2_ifo003,5.0,BiasNet_ByExp,2.4328993069985736,1.445714360308689,1.849518229868365,0.6388985395005824,4.350240697180408,,,scenario_key=B2_bn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_5/B2_bn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0_ifo003,6.0,BiasNet_ByExp,0.586976352520603,0.4997308308191839,0.263356134928926,0.1595427257585139,1.1262936427011232,,,scenario_key=B2_bn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_6/B2_bn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0b_ifo003,7.0,BiasNet_ByExp,0.9872049831221884,0.5313868206714784,0.8183652148401428,0.1499336541860467,1.4873984897394938,,,scenario_key=B2_bn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_7/B2_bn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet_ByTime,0.3240044494994722,0.218159531357212,0.1817772991367656,0.1560202412893923,0.999759116110272,,,scenario_key=B1_bn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_1/B1_bn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random2_0_ifo003,2.0,BiasNet_ByTime,0.403299125097357,0.3171760079149139,0.2162146938804016,0.1236962831198101,0.6638070654185012,,,scenario_key=B1_bn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_2/B1_bn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet_ByTime,1.4042558209207583,0.7089266536967789,1.2024418594582682,0.1532676903025068,1.8252868033753824,,,scenario_key=B1_bn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_3/B1_bn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_1_ifo003,4.0,BiasNet_ByTime,1.1848220474673845,1.0437499027103685,0.4996005188358252,0.2545363359834586,1.9195107649330203,,,scenario_key=B1_bn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_4/B1_bn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_2_ifo003,5.0,BiasNet_ByTime,2.4373128773909984,1.4516939149148174,1.8506520239997528,0.6388786471317498,4.392380922275143,,,scenario_key=B1_bn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_5/B1_bn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0_ifo003,6.0,BiasNet_ByTime,0.6049355481884086,0.5202509660232301,0.2646369324843778,0.1589126923161453,1.1248970129906046,,,scenario_key=B1_bn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_6/B1_bn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0b_ifo003,7.0,BiasNet_ByTime,0.9920500754353552,0.5395600585197025,0.8191711786108014,0.1483134368656443,1.4708684438495314,,,scenario_key=B1_bn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_7/B1_bn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_movingTriangle_0b_ifo003,1.0,Budgeted_K2,0.2973790876350777,0.1870245383833493,0.170607404614966,0.1560424855470827,0.9428531722830408,,,scenario_key=E_budget_k2,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_1/E_budget_k2/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random2_0_ifo003,2.0,Budgeted_K2,0.5036109270281136,0.4155403068326038,0.2555821212192209,0.1250119935552735,0.6884649211609579,,,scenario_key=E_budget_k2,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_2/E_budget_k2/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_0b_ifo003,3.0,Budgeted_K2,1.2383218342058164,0.5000939265999738,1.123289745802679,0.1468576747168194,1.2098070305041222,,,scenario_key=E_budget_k2,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_3/E_budget_k2/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_1_ifo003,4.0,Budgeted_K2,0.5054438877204074,0.3681044909848485,0.2804915015999212,0.2032169404378679,1.3525301929451934,,,scenario_key=E_budget_k2,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_4/E_budget_k2/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_2_ifo003,5.0,Budgeted_K2,2.39820531386647,1.603854658361632,1.6206701460448256,0.7432814002974113,3.1968266243026235,,,scenario_key=E_budget_k2,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_5/E_budget_k2/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0_ifo003,6.0,Budgeted_K2,0.572655055063246,0.4883095458224945,0.2556986919174819,0.1552603571418266,1.007787449292268,,,scenario_key=E_budget_k2,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_6/E_budget_k2/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0b_ifo003,7.0,Budgeted_K2,0.8671877304156912,0.4326187290157544,0.736109001184697,0.1516546519668257,1.1852694610142442,,,scenario_key=E_budget_k2,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_7/E_budget_k2/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_movingTriangle_0b_ifo003,1.0,FusionNet_ByExp,0.3000954268225953,0.1882726970108874,0.1734487374345716,0.1566084041245404,0.9630589662319898,,,scenario_key=C1_fn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_1/C1_fn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random2_0_ifo003,2.0,FusionNet_ByExp,0.4985491168107928,0.4143314543652127,0.2477813748797795,0.1244389732323274,0.6826838343678879,,,scenario_key=C1_fn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_2/C1_fn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_0b_ifo003,3.0,FusionNet_ByExp,1.2463736343571654,0.5140125689944066,1.1259062612646105,0.1468788826945739,1.1786593920588042,,,scenario_key=C1_fn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_3/C1_fn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_1_ifo003,4.0,FusionNet_ByExp,0.5065674348973401,0.3716572217376581,0.2777619279651216,0.2032972872465696,1.357788811907557,,,scenario_key=C1_fn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_4/C1_fn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_2_ifo003,5.0,FusionNet_ByExp,2.4173060859364512,1.6302099618290689,1.624518218755618,0.7394083786310068,3.2563094637312595,,,scenario_key=C1_fn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_5/C1_fn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0_ifo003,6.0,FusionNet_ByExp,0.5797148268842374,0.4948090570664432,0.2600382608132228,0.1536664584991564,0.9634760682419902,,,scenario_key=C1_fn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_6/C1_fn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0b_ifo003,7.0,FusionNet_ByExp,0.8984580930113933,0.4223425812251868,0.7784427298193244,0.1512633642795085,1.246915858543704,,,scenario_key=C1_fn_by_exp,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_7/C1_fn_by_exp/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_movingTriangle_0b_ifo003,1.0,FusionNet_ByTime,0.2973790876350777,0.1870245383833493,0.170607404614966,0.1560424855470827,0.9428531722830408,,,scenario_key=C2_fn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_1/C2_fn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random2_0_ifo003,2.0,FusionNet_ByTime,0.5036109270281136,0.4155403068326038,0.2555821212192209,0.1250119935552735,0.6884649211609579,,,scenario_key=C2_fn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_2/C2_fn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_0b_ifo003,3.0,FusionNet_ByTime,1.2383218342058164,0.5000939265999738,1.123289745802679,0.1468576747168194,1.2098070305041222,,,scenario_key=C2_fn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_3/C2_fn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_1_ifo003,4.0,FusionNet_ByTime,0.5054438877204074,0.3681044909848485,0.2804915015999212,0.2032169404378679,1.3525301929451934,,,scenario_key=C2_fn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_4/C2_fn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random3_2_ifo003,5.0,FusionNet_ByTime,2.39820531386647,1.603854658361632,1.6206701460448256,0.7432814002974113,3.1968266243026235,,,scenario_key=C2_fn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_5/C2_fn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0_ifo003,6.0,FusionNet_ByTime,0.572655055063246,0.4883095458224945,0.2556986919174819,0.1552603571418266,1.007787449292268,,,scenario_key=C2_fn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_6/C2_fn_by_time/all_summary.csv
NonZig->Zig generalization,per_fold,default_3_random_0b_ifo003,7.0,FusionNet_ByTime,0.8671877304156912,0.4326187290157544,0.736109001184697,0.1516546519668257,1.1852694610142442,,,scenario_key=C2_fn_by_time,runs/20250923_004753_notebook_cv_eval/cv_nonzig/cv_fold_7/C2_fn_by_time/all_summary.csv
NonZig->Zig generalization,scenario_summary,,,Baseline_Grid,1.0712380217208926,0.6826074719870058,0.7495166549281312,0.2325218267739689,1.7942241460347164,0.7651877873542616,1.3230371532121186,"scenario_key=A_baseline_grid, folds=7",runs/20250923_004753_notebook_cv_eval/cv_nonzig
NonZig->Zig generalization,scenario_summary,,,BiasNet+FusionNet_ByExp,0.8881742910332387,0.5667207103868013,0.6062969304952498,0.2392061900436734,1.3370439572595763,0.6872568179112168,0.7919445214165218,"scenario_key=D_bnfn_by_exp, folds=7",runs/20250923_004753_notebook_cv_eval/cv_nonzig
NonZig->Zig generalization,scenario_summary,,,BiasNet_ByExp,1.0507107552307713,0.6746109043925738,0.7373546104969808,0.23338604973261642,1.7691606253264454,0.7380305348711976,1.225855945155338,"scenario_key=B2_bn_by_exp, folds=7",runs/20250923_004753_notebook_cv_eval/cv_nonzig
NonZig->Zig generalization,scenario_summary,,,BiasNet_ByTime,1.0500971348571049,0.6856452907338604,0.7192135009151703,0.23337504671552958,1.7709300184217793,0.7320112983916272,1.2399500746601186,"scenario_key=B1_bn_by_time, folds=7",runs/20250923_004753_notebook_cv_eval/cv_nonzig
NonZig->Zig generalization,scenario_summary,,,Budgeted_K2,0.9118291194192604,0.5707923137143794,0.6346355160548274,0.24018935766615818,1.3690769787860642,0.7236808083763655,0.8342186277348801,"scenario_key=E_budget_k2, folds=7",runs/20250923_004753_notebook_cv_eval/cv_nonzig
NonZig->Zig generalization,scenario_summary,,,FusionNet_ByExp,0.9210092312457109,0.576519363175552,0.6411282158474639,0.2393659641010976,1.378413199297599,0.7300142920776286,0.8575978263285312,"scenario_key=C1_fn_by_exp, folds=7",runs/20250923_004753_notebook_cv_eval/cv_nonzig
NonZig->Zig generalization,scenario_summary,,,FusionNet_ByTime,0.9118291194192604,0.5707923137143794,0.6346355160548274,0.24018935766615818,1.3690769787860642,0.7236808083763655,0.8342186277348801,"scenario_key=C2_fn_by_time, folds=7",runs/20250923_004753_notebook_cv_eval/cv_nonzig
Pattern CV,per_fold,default_3_movingTriangle_0b_ifo003,1.0,Baseline_Grid,0.3032759064769638,0.2030404515957717,0.1621496755282484,0.1563916020484886,0.9967876393357236,,,scenario_key=A_baseline_grid,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random2_0_ifo003,2.0,Baseline_Grid,0.508560456286485,0.421271669134541,0.2565074907464754,0.1239670346255893,0.7296989062699817,,,scenario_key=A_baseline_grid,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_0b_ifo003,3.0,Baseline_Grid,1.3557681354825946,0.6082511140449801,1.2019219806777406,0.1533667885061409,1.680461574315972,,,scenario_key=A_baseline_grid,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_1_ifo003,4.0,Baseline_Grid,1.182329945792187,1.0208891762602748,0.5407563933861871,0.2515390894543926,1.9698742958056144,,,scenario_key=A_baseline_grid,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_2_ifo003,5.0,Baseline_Grid,2.5764893221768355,1.502854402503582,1.9927796409760925,0.6391832090082092,4.638762516948487,,,scenario_key=A_baseline_grid,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0_ifo003,6.0,Baseline_Grid,0.5799189268836991,0.4900801578233164,0.2677183170843425,0.1563787177442667,1.1095132989958405,,,scenario_key=A_baseline_grid,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0b_ifo003,7.0,Baseline_Grid,0.992323456902457,0.5318653296934006,0.8247830856047844,0.1468263460323816,1.434470787120955,,,scenario_key=A_baseline_grid,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet+FusionNet_ByExp,0.3114045471560009,0.1944113904077132,0.1860556601890992,0.1567172440440806,0.9735922717141828,,,scenario_key=D_bnfn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random2_0_ifo003,2.0,BiasNet+FusionNet_ByExp,0.3966945890106138,0.3095305635468305,0.2145216894835588,0.1246510004845574,0.6412153378408904,,,scenario_key=D_bnfn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet+FusionNet_ByExp,1.3433020782128646,0.6181255632730679,1.1816390957639435,0.1615868457564656,1.3998447909200984,,,scenario_key=D_bnfn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_1_ifo003,4.0,BiasNet+FusionNet_ByExp,1.5143439895925934,0.906997401037718,0.931907753358022,0.7759776881826158,2.972478206893161,,,scenario_key=D_bnfn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_2_ifo003,5.0,BiasNet+FusionNet_ByExp,2.4765681218965,1.4538873492624336,1.8484541032974595,0.7764139785265097,4.364795611745047,,,scenario_key=D_bnfn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0_ifo003,6.0,BiasNet+FusionNet_ByExp,0.6187420413142537,0.5361161733679062,0.2689373931070306,0.1519665783383954,0.9818035424477652,,,scenario_key=D_bnfn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0b_ifo003,7.0,BiasNet+FusionNet_ByExp,0.5968153141756203,0.4852582474453402,0.3130206840809774,0.1507680465426896,0.9736757256345334,,,scenario_key=D_bnfn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet_ByExp,0.3159022945369513,0.2104083308284531,0.1766823082937098,0.1559036752219193,0.9949268469817736,,,scenario_key=B2_bn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random2_0_ifo003,2.0,BiasNet_ByExp,0.4017381591496053,0.3169085056414832,0.2137586184893716,0.1235710345935104,0.6594982224171014,,,scenario_key=B2_bn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet_ByExp,1.3976262990516846,0.6558148376196549,1.2246595137633165,0.153216336948165,1.781872569854165,,,scenario_key=B2_bn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_1_ifo003,4.0,BiasNet_ByExp,1.3013095715571537,0.965447809525004,0.8347200916692719,0.2540856089456278,2.03981292037725,,,scenario_key=B2_bn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_2_ifo003,5.0,BiasNet_ByExp,2.437446288723577,1.4481851121263287,1.853773822821424,0.6383000119458319,4.280706674572965,,,scenario_key=B2_bn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0_ifo003,6.0,BiasNet_ByExp,0.6209260133789083,0.5340357812427216,0.274264574328571,0.158536562696016,1.1321788831470276,,,scenario_key=B2_bn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0b_ifo003,7.0,BiasNet_ByExp,0.5876751763001801,0.4730582538713265,0.3151332462447971,0.1492281421008646,1.025774958655013,,,scenario_key=B2_bn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_movingTriangle_0b_ifo003,1.0,BiasNet_ByTime,0.3221631426109737,0.2158785034100449,0.1812301256759709,0.1560166778581375,0.9992786242954376,,,scenario_key=B1_bn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random2_0_ifo003,2.0,BiasNet_ByTime,0.5484699096107415,0.4351960275791752,0.3100358252640387,0.123699015277277,0.7471526663538237,,,scenario_key=B1_bn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_0b_ifo003,3.0,BiasNet_ByTime,1.4127054609768683,0.6950379815775619,1.2201871951943275,0.1542793969467703,1.7670076172563451,,,scenario_key=B1_bn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_1_ifo003,4.0,BiasNet_ByTime,1.2013299889405975,1.0329249296850247,0.5590452506856447,0.2524445278651125,1.9618621793838005,,,scenario_key=B1_bn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_2_ifo003,5.0,BiasNet_ByTime,2.494763944172393,1.524952424719788,1.8683440106545088,0.6384809295000778,4.537623349625233,,,scenario_key=B1_bn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0_ifo003,6.0,BiasNet_ByTime,0.6281234206323035,0.5387727914791637,0.281125834054826,0.1588432439090669,1.138361242401482,,,scenario_key=B1_bn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0b_ifo003,7.0,BiasNet_ByTime,0.5903988712150275,0.4807475072077903,0.308552441143572,0.1491578107569927,1.0276313300743292,,,scenario_key=B1_bn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_movingTriangle_0b_ifo003,1.0,Budgeted_K2,0.299769995616244,0.1868340056669012,0.1749236849809334,0.1560666813606101,0.9381114299096572,,,scenario_key=E_budget_k2,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random2_0_ifo003,2.0,Budgeted_K2,0.5045177097246062,0.419558541260167,0.2507268883670648,0.1250790843073694,0.6920624693967399,,,scenario_key=E_budget_k2,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_0b_ifo003,3.0,Budgeted_K2,1.3318920325476007,0.5966692982401341,1.1800498101477372,0.1593881440750586,1.3590210692988869,,,scenario_key=E_budget_k2,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_1_ifo003,4.0,Budgeted_K2,1.5780499552820828,0.8118157731488252,1.028846386533822,0.8790175906936379,2.94274757001849,,,scenario_key=E_budget_k2,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_2_ifo003,5.0,Budgeted_K2,2.5675098446958176,1.502896706572232,1.9281689014811816,0.7845845903056902,4.446730776841005,,,scenario_key=E_budget_k2,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0_ifo003,6.0,Budgeted_K2,0.5985702760285884,0.5093092311538433,0.2738699494543465,0.1545500992956476,1.0391654385522755,,,scenario_key=E_budget_k2,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0b_ifo003,7.0,Budgeted_K2,0.867115122735572,0.4458370490069718,0.7279683832977423,0.1522497774328542,1.1988485704726488,,,scenario_key=E_budget_k2,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_movingTriangle_0b_ifo003,1.0,FusionNet_ByExp,0.300111530570676,0.1884532176753553,0.1732541232399386,0.1566375571491033,0.9637329127364116,,,scenario_key=C1_fn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random2_0_ifo003,2.0,FusionNet_ByExp,0.5051308122297525,0.4195310994379695,0.2521062359197046,0.1248728948917915,0.692603945533915,,,scenario_key=C1_fn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_0b_ifo003,3.0,FusionNet_ByExp,1.3318929892953957,0.6020505422821747,1.1764846694668851,0.165402242975603,1.3491507173571564,,,scenario_key=C1_fn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_1_ifo003,4.0,FusionNet_ByExp,1.5858506976997175,0.8005744805894899,1.0497853489382525,0.8786089332451249,2.9809463722774816,,,scenario_key=C1_fn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_2_ifo003,5.0,FusionNet_ByExp,2.4872068625320614,1.446735665844872,1.878863513126386,0.750350444286779,4.401036697954448,,,scenario_key=C1_fn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0_ifo003,6.0,FusionNet_ByExp,0.5984732494191686,0.5158538778395347,0.2602308174759656,0.1560286147603816,1.034914138507711,,,scenario_key=C1_fn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random_0b_ifo003,7.0,FusionNet_ByExp,0.9029820075310724,0.4698982078308263,0.756055233382262,0.1515013672463772,1.2727161241262892,,,scenario_key=C1_fn_by_exp,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_movingTriangle_0b_ifo003,1.0,FusionNet_ByTime,0.299769995616244,0.1868340056669012,0.1749236849809334,0.1560666813606101,0.9381114299096572,,,scenario_key=C2_fn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random2_0_ifo003,2.0,FusionNet_ByTime,0.5045177097246062,0.419558541260167,0.2507268883670648,0.1250790843073694,0.6920624693967399,,,scenario_key=C2_fn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
Pattern CV,per_fold,default_3_random3_0b_ifo003,3.0,FusionNet_ByTime,1.3318920325476007,0.5966692982401341,1.1800498101477372,0.1593881440750586,1.3590210692988869,,,scenario_key=C2_fn_by_time,runs/20250911_190705_notebook_cv_eval/all_summaries.csv
