fold,experiment,baseline_grid,budgeted_k2,difference,diff_percent
1,default_3_movingTriangle_0b_ifo003,0.3032759064769639,0.2973790876350777,-0.005896818841886198,-1.9443743192089364
2,default_3_random2_0_ifo003,0.5085604562863324,0.5036109270281136,-0.004949529258218788,-0.973243042599458
3,default_3_random3_0b_ifo003,1.355768135483179,1.2383218342058164,-0.11744630127736255,-8.662712908170404
4,default_3_random3_1_ifo003,1.1823299457921723,0.5054438877204074,-0.6768860580717649,-57.2501830373792
5,default_3_random3_2_ifo003,2.5764893242215,2.39820531386647,-0.17828401035502983,-6.919648712648918
6,default_3_random_0_ifo003,0.5799189268836664,0.572655055063246,-0.007263871820420431,-1.2525667785072285
7,default_3_random_0b_ifo003,0.9923234569024338,0.8671877304156912,-0.12513572648674265,-12.610376749266555
