scenario,RMSE_3D_Mean,RMSE_3D_Std,RMSE_CI_Lower,RMSE_CI_Upper,RMSE_Rank,NEES_Mean,NEES_Std,NEES_CI_Lower,NEES_CI_Upper,NEES_Rank,N_Folds
BiasNet+FusionNet_ByExp,0.8882,0.6873,0.379,1.3974,1.0,1.337,0.7919,0.7504,1.9236,1.0,7
Budgeted_K2,0.9118,0.7237,0.3757,1.4479,2.5,1.3691,0.8342,0.7511,1.9871,2.5,7
FusionNet_ByTime,0.9118,0.7237,0.3757,1.4479,2.5,1.3691,0.8342,0.7511,1.9871,2.5,7
FusionNet_ByExp,0.921,0.73,0.3802,1.4618,4.0,1.3784,0.8576,0.7431,2.0137,4.0,7
BiasNet_ByTime,1.0501,0.732,0.5078,1.5924,5.0,1.7709,1.24,0.8523,2.6895,6.0,7
BiasNet_ByExp,1.0507,0.738,0.504,1.5974,6.0,1.7692,1.2259,0.861,2.6774,5.0,7
Baseline_Grid,1.0712,0.7652,0.5043,1.6381,7.0,1.7942,1.323,0.8141,2.7743,7.0,7
