rmse_x,rmse_y,rmse_z,rmse_3d,nees,exp,fold,heldout_exp,scenario_key,scenario
0.893389036589518,0.441894261502227,0.1273447106613261,1.004804052728874,1.4971463562247906,default_3_zigzag_0_ifo003,1,default_3_zigzag_0,A_baseline_grid,Baseline_Grid
0.935863314557264,0.4418644231680977,0.127097116342351,1.0427070484936438,1.5668777576228945,default_3_zigzag_0_ifo003,1,default_3_zigzag_0,B1_bn_by_time,BiasNet_ByTime
0.9302069581864092,0.4467865845740447,0.1270286020116547,1.0397304953413655,1.5585784391982838,default_3_zigzag_0_ifo003,1,default_3_zigzag_0,B2_bn_by_exp,BiasNet_ByExp
0.8827649403037183,0.4322862012817348,0.1263194855647988,0.9910105509435142,1.3846904224495382,default_3_zigzag_0_ifo003,1,default_3_zigzag_0,C1_fn_by_exp,FusionNet_ByExp
0.884333315327145,0.4320224695424816,0.1261295927856082,0.9922688652594815,1.383024965526012,default_3_zigzag_0_ifo003,1,default_3_zigzag_0,C2_fn_by_time,FusionNet_ByTime
0.9195480594416372,0.4467626132077187,0.126379135120319,1.0301151158859982,1.4575122760325565,default_3_zigzag_0_ifo003,1,default_3_zigzag_0,D_bnfn_by_exp,BiasNet+FusionNet_ByExp
0.884333315327145,0.4320224695424816,0.1261295927856082,0.9922688652594815,1.383024965526012,default_3_zigzag_0_ifo003,1,default_3_zigzag_0,E_budget_k2,Budgeted_K2
0.345359481294393,0.2882004826279902,0.1077660661245046,0.4625432028631376,0.550735805161643,default_3_zigzag_1_ifo003,2,default_3_zigzag_1,A_baseline_grid,Baseline_Grid
1.4888336568987228,2.174294829766665,0.1072977005030722,2.637365439448572,3.602096682397715,default_3_zigzag_1_ifo003,2,default_3_zigzag_1,B1_bn_by_time,BiasNet_ByTime
1.0098711197637993,0.8156547370617239,0.1074836123219456,1.302568637555042,1.558846919407436,default_3_zigzag_1_ifo003,2,default_3_zigzag_1,B2_bn_by_exp,BiasNet_ByExp
0.3285543954194789,0.2783964744557497,0.1082804105911406,0.4440464334465889,0.4972645936401426,default_3_zigzag_1_ifo003,2,default_3_zigzag_1,C1_fn_by_exp,FusionNet_ByExp
0.325803841582268,0.2738973018937658,0.1079309410259112,0.439109283897738,0.5098627662773622,default_3_zigzag_1_ifo003,2,default_3_zigzag_1,C2_fn_by_time,FusionNet_ByTime
0.4717415249765165,0.3886563144281471,0.107748107946863,0.6206476068576805,0.6011222514450542,default_3_zigzag_1_ifo003,2,default_3_zigzag_1,D_bnfn_by_exp,BiasNet+FusionNet_ByExp
0.325803841582268,0.2738973018937658,0.1079309410259112,0.439109283897738,0.5098627662773622,default_3_zigzag_1_ifo003,2,default_3_zigzag_1,E_budget_k2,Budgeted_K2
2.6305353484150005,2.991859612854861,0.5068807922560583,4.01595173026905,10.016784479943306,default_3_zigzag_2_ifo003,3,default_3_zigzag_2,A_baseline_grid,Baseline_Grid
2.5235757816760502,3.0415922020451087,0.5656659973623952,3.992454867619097,10.523299082928482,default_3_zigzag_2_ifo003,3,default_3_zigzag_2,B1_bn_by_time,BiasNet_ByTime
2.231283041219521,3.0259694998486903,0.5122053363882463,3.7943997852984377,10.440049390740391,default_3_zigzag_2_ifo003,3,default_3_zigzag_2,B2_bn_by_exp,BiasNet_ByExp
2.352190527234352,2.4485888243915124,0.521237781414783,3.435123918015224,7.3418977078149155,default_3_zigzag_2_ifo003,3,default_3_zigzag_2,C1_fn_by_exp,FusionNet_ByExp
1.8400061190217816,1.9184763258505209,0.524545353362009,2.709487360852634,5.894762945394246,default_3_zigzag_2_ifo003,3,default_3_zigzag_2,C2_fn_by_time,FusionNet_ByTime
2.5067736557353832,2.7709281591527706,0.9705174256316684,3.860551916206996,7.1393674455592375,default_3_zigzag_2_ifo003,3,default_3_zigzag_2,D_bnfn_by_exp,BiasNet+FusionNet_ByExp
1.8400061190217816,1.9184763258505209,0.524545353362009,2.709487360852634,5.894762945394246,default_3_zigzag_2_ifo003,3,default_3_zigzag_2,E_budget_k2,Budgeted_K2
