my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
21,11,31,91840680.78826484,92145487.0193883,93684201.37431867,-85.46939849853516,-92.8302001953125,-93.49220275878906,-2.088000059127808,-2.917799949645996,-2.28629994392395,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,91840681.41839445,92145487.29529747,93684201.62885617,0.1845156853083871,1.278642177581787,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
30,11,31,-25932486.04232497,-25627691.82352111,-24088975.92107687,-93.00090026855467,-79.18820190429688,-80.67289733886719,-1.1008000373840332,-1.4686000347137451,-0.8093000054359436,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,-25932485.94626402,-25627691.791240983,-24088975.939628407,0.1330894182046747,1.3279950618743896,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
20,11,31,93838155.949344,94142963.14095578,95681683.4991685,-81.34380340576172,-84.21029663085938,-85.32029724121094,1.7237999439239502,1.3875999450683594,1.7257000207901,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,93838155.97142927,94142963.50723656,95681683.8660607,0.1939991503737863,1.399691104888916,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
10,11,31,-43510288.692286536,-43205484.84652984,-41666766.89882855,-80.82119750976562,-79.93699645996094,-79.97730255126953,0.2196999937295913,-0.9535999894142152,0.0241999998688697,-84.5094985961914,-83.68489837646484,-0.3007999956607818,-0.3770999908447265,-43510288.77453926,-43205485.041691706,-41666767.09297376,0.0658900454824948,1.455622673034668,23336972.045678284,-25293359.21376653,-24988564.873198263,23641778.394879326,-23449846.92448031,25180495.887735058,1.813040288474074,-0.0297060025045452,23336971.96764824,-25293358.92114884,-24988564.89132612,23641778.73660357,-23449846.94260817,25180496.15322015,1.9247000217437744,0.0819537307651552,1.8427462909786192,1.1930749416351318
31,11,5,680676344.4836571,680980797.8988472,682519520.2956252,-86.48429870605469,-83.28710174560547,-85.58679962158203,-0.0186000000685453,2.1886000633239746,2.902899980545044,-81.52970123291016,-81.81929779052734,-3.1542999744415283,2.6421000957489014,680676344.7296925,680980798.1363932,682519520.5766726,0.1995159741979966,2.3210906982421875,1065388574.6097808,13775915.751559544,14080337.676836971,1065693028.9681548,15619055.62555492,1067231750.8129512,4.744634692329111,0.056611425093938,1065388574.5317508,13775916.122045271,14080337.352263622,1065693029.0809042,15619055.30098157,1067231751.239483,4.868000030517578,0.1799767632824052,4.688023267235173,2.233327865600586
20,11,5,1135891649.8290958,1136196095.6153665,1137734820.3984785,-81.45709991455078,-81.06809997558594,-82.55909729003906,1.6624000072479248,3.655400037765503,4.37060022354126,-81.52970123291016,-81.81929779052734,-3.1542999744415283,2.6421000957489014,1135891649.8741736,1136196095.5810544,1137734820.6348908,0.1401108743330271,2.353403091430664,1065388574.6097808,13775915.751559544,14080337.676836971,1065693028.9681548,15619055.62555492,1067231750.8129512,4.744634692329111,0.056611425093938,1065388574.5317508,13775916.122045271,14080337.352263622,1065693029.0809042,15619055.30098157,1067231751.239483,4.868000030517578,0.1799767632824052,4.688023267235173,2.233327865600586
30,11,5,1016118150.2688771,1016422603.0300792,1017961324.410766,-93.37039947509766,-92.3397979736328,-90.9480972290039,-0.9675999879837036,3.053800106048584,1.7853000164031982,-81.52970123291016,-81.81929779052734,-3.1542999744415283,2.6421000957489014,1016118150.3530648,1016422603.149414,1017961324.5880908,0.1839138843837586,2.452810525894165,1065388574.6097808,13775915.751559544,14080337.676836971,1065693028.9681548,15619055.62555492,1067231750.8129512,4.744634692329111,0.056611425093938,1065388574.5317508,13775916.122045271,14080337.352263622,1065693029.0809042,15619055.30098157,1067231751.239483,4.868000030517578,0.1799767632824052,4.688023267235173,2.233327865600586
10,11,5,998541456.2959166,998845910.378799,1000384632.8442864,-81.16790008544922,-86.76370239257812,-88.06449890136719,-0.2215999960899353,2.2527999877929688,2.7492001056671143,-81.52970123291016,-81.81929779052734,-3.1542999744415283,2.6421000957489014,998541456.283178,998845910.6914812,1000384633.0848104,0.200300806463731,2.489773750305176,1065388574.6097808,13775915.751559544,14080337.676836971,1065693028.9681548,15619055.62555492,1067231750.8129512,4.744634692329111,0.056611425093938,1065388574.5317508,13775916.122045271,14080337.352263622,1065693029.0809042,15619055.30098157,1067231751.239483,4.868000030517578,0.1799767632824052,4.688023267235173,2.233327865600586
21,11,5,1133890151.217318,1134194594.1794565,1135733312.8554533,-85.82369995117188,-80.84130096435547,-81.65950012207031,-2.1737000942230225,-0.1955000013113021,0.5465999841690063,-81.52970123291016,-81.81929779052734,-3.1542999744415283,2.6421000957489014,1133890151.8366885,1134194594.3666117,1135733313.2073815,0.1697164690980497,2.490797758102417,1065388574.6097808,13775915.751559544,14080337.676836971,1065693028.9681548,15619055.62555492,1067231750.8129512,4.744634692329111,0.056611425093938,1065388574.5317508,13775916.122045271,14080337.352263622,1065693029.0809042,15619055.30098157,1067231751.239483,4.868000030517578,0.1799767632824052,4.688023267235173,2.233327865600586
31,10,21,1803909823.8853388,1804216286.306773,1805755007.4370656,-80.6259994506836,-92.15910339355467,-93.17870330810548,-0.3594000041484833,2.443700075149536,2.122400045394897,-95.46630096435548,-93.4792022705078,-2.575999975204468,2.0768001079559326,1803909823.6866496,1804216286.261144,1805755007.35552,0.1995769963386166,3.536017417907715,105282629.10020377,442278116.0470647,442584560.3985701,105589092.27696311,444123278.3472881,107127813.7161708,2.7168190511093653,0.2432521028964283,105282629.01893029,442278116.2516276,442584560.1086739,105589092.2663762,444123278.0573918,107127813.97110376,2.7934999465942383,0.3199329983813013,2.473566948212937,3.3563740253448486
